Kalem,2024/12,2024/9,2024/6,2024/3,2023/12,2023/9,2023/6,2023/3,2022/12,2022/9,2022/6,2022/3,2021/12,2021/9,2021/6,2021/3,2020/12,2020/9,2020/6,2020/3,2019/12,2019/9,2019/6,2019/3,2018/12,2018/9,2018/6,2018/3,2017/12,2017/9,2017/6,2017/3,2016/12,2016/9,2016/6
    Finans Sektörü Faaliyetlerinden Alacaklar,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Diðer Alacaklar,44601000000,41974000000,43334000000,42646000000,41076000000,29338000000,24389000000,18675000000,17887000000,15324000000,13878000000,13184000000,11544000000,9219000000,8983000000,9529000000,8809000000,7550000000,7129000000,10008000000,7577000000,6800000000,4446000000,4818000000,5280000000,4185000000,3276000000,2691000000,2336000000,2150000000,2177000000,1972000000,1815000000,1857000000,1748000000
    Müþteri Sözleþmelerinden Doðan Varlýklar,,,,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,
    Ýmtiyaz Sözleþmelerine Ýliþkin Finansal Varlýklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Türev Araçlar,,,,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,
    Stoklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Özkaynak Yöntemiyle Deðerlenen Yatýrýmlar,22707000000,21087000000,16271000000,16567000000,14626000000,9563000000,6069000000,4538000000,5179000000,5165000000,3660000000,3444000000,3164000000,2293000000,1625000000,1820000000,1881000000,1864000000,1745000000,2142000000,2191000000,2087000000,2033000000,1911000000,1884000000,2167000000,1356000000,1262000000,1209000000,1180000000,861000000,885000000,869000000,816000000,659000000
    Canlý Varlýklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Yatýrým Amaçlý Gayrimenkuller,1523000000,1473000000,1417000000,1394000000,1271000000,1889000000,1782000000,1322000000,1290000000,,,,0,,,,,,,,,0,0,2000000,2000000,2000000,1000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
    Proje Halindeki Yatýrým Amaçlý Gayrimenkuller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Maddi Duran Varlýklar,2.48909E+11,2.37219E+11,2.1477E+11,2.01126E+11,1.78849E+11,1.59053E+11,1.42271E+11,99659000000,87045000000,84474000000,73884000000,64334000000,58195000000,38459000000,37738000000,35181000000,30431000000,1.44205E+11,1.24526E+11,1.19129E+11,21640000000,87436000000,83406000000,80466000000,73219000000,79200000000,58918000000,51025000000,49040000000,45301000000,45160000000,49294000000,47422000000,40001000000,38745000000
    Kullaným Hakký Varlýklarý,6.21795E+11,5.95355E+11,5.58306E+11,5.50639E+11,4.9831E+11,4.49261E+11,4.19768E+11,3.11835E+11,3.09943E+11,3.01563E+11,2.61025E+11,2.20389E+11,2.01381E+11,1.34974E+11,1.30764E+11,1.22572E+11,1.08465E+11,,,,80894000000,8190000000,8614000000,8783000000,,,,,,,,,,,
    Maddi Olmayan Duran Varlýklar,4886000000,4531000000,4065000000,3793000000,3344000000,3002000000,2706000000,1875000000,1932000000,1557000000,1421000000,1309000000,1254000000,852000000,865000000,848000000,744000000,772000000,704000000,608000000,563000000,522000000,531000000,522000000,494000000,461000000,356000000,309000000,296000000,283000000,284000000,296000000,303000000,269000000,272000000
    Peþin Ödenmiþ Giderler,59824000000,57151000000,50940000000,45582000000,38085000000,33737000000,28182000000,19418000000,17089000000,17306000000,14939000000,12845000000,11188000000,7229000000,6787000000,6733000000,5862000000,6742000000,6043000000,5510000000,5135000000,5050000000,5353000000,4963000000,4037000000,4161000000,2930000000,2317000000,1872000000,1734000000,1648000000,1769000000,1825000000,1552000000,1470000000
    Ertelenmiþ Vergi Varlýðý,14198000000,17213000000,13058000000,11166000000,9763000000,195000000,96000000,50000000,32000000,12000000,21000000,19000000,14000000,4000000,4000000,4000000,3000000,,,,0,,,,,,,,,,,,,,
    Cari Dönem Vergisiyle Ýlgili Duran Varlýklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Nakit Dýþý Serbest Kullanýlabilir Teminatlar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Diðer Duran Varlýklar,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Toplam Duran Varlýklar,1.0577E+12,1.01479E+12,9.21813E+11,8.90378E+11,7.97048E+11,6.96107E+11,6.33125E+11,4.62743E+11,4.43476E+11,4.27845E+11,3.70787E+11,3.17371E+11,2.87911E+11,1.93653E+11,1.87247E+11,1.77125E+11,1.56743E+11,1.61783E+11,1.4073E+11,1.37896E+11,1.18532E+11,1.10585E+11,1.04864E+11,1.01913E+11,85370000000,91283000000,67671000000,57902000000,54948000000,50777000000,50256000000,54389000000,52401000000,44637000000,42987000000
    Toplam Varlýklar,1.39961E+12,1.35367E+12,1.23384E+12,1.16598E+12,1.04894E+12,9.5034E+11,8.53692E+11,6.14256E+11,5.78571E+11,5.64217E+11,4.89237E+11,3.99183E+11,3.53708E+11,2.41135E+11,2.28572E+11,2.11275E+11,1.87402E+11,1.91021E+11,1.69298E+11,1.62702E+11,1.46871E+11,1.35503E+11,1.32762E+11,1.29054E+11,1.09076E+11,1.22984E+11,90375000000,73129000000,68647000000,66232000000,64473000000,67203000000,65074000000,55716000000,52416000000
Kýsa Vadeli Yükümlülükler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Finansal Borçlar,1.3041E+11,1.27784E+11,1.00395E+11,1.05944E+11,1.0981E+11,1.04547E+11,1.01125E+11,77982000000,70184000000,69328000000,67625000000,61715000000,53361000000,40089000000,37305000000,34794000000,32600000000,31019000000,26300000000,22037000000,18450000000,16258000000,16635000000,15838000000,12460000000,13244000000,8793000000,7545000000,6514000000,8374000000,8806000000,9085000000,8522000000,5951000000,3491000000
